When adding two logarithms with the same base	It is equivalent to multiplying the values inside: \(\log_b(x) + \log_b(y) = \log_b(xy)\)	adding-logarithms
Evaluate \(\log_2(8) + \log_2(4)\)	\(\log_2(8) + \log_2(4) = \log_2(32) = 5\)	adding-logarithms
Evaluate \(\log_{10}(100) + \log_{10}(1000)\)	\(\log_{10}(100) + \log_{10}(1000) = \log_{10}(100000) = 5\)	adding-logarithms
When adding more than two logarithms with the same base	Multiply all the values inside, e.g. \(\log_3(9) + \log_3(27) + \log_3(81) = \log_3(19683)\)	adding-logarithms
How do you split a logarithm into the sum of two logarithms?	\(\log_b(xy) = \log_b(x) + \log_b(y)\)	adding-logarithms
Write \(\log_5(1250)\) as the sum of an integer and a logarithm	\(\log_5(1250) = \log_5(125) + \log_5(10) = 3 + \log_5(10)\)	adding-logarithms
What is an algebraic fraction?	"A fraction containing a <a href=""/variable"">variable</a> in the <a href=""/numerator"">numerator</a>, <a href=""/denominator"">denominator</a>, or both. <a href=""/algebraic-fractions"">algebraic fractions</a>"	algebraic-fractions
How do you simplify an algebraic fraction?	Find the [ highest common factor (HCF)](/highest-common-factor—————————————————————————–) of numerator and denominator, then divide both by the HCF. [ simplification steps](/simplifying-algebraic-fractions-)	algebraic-fractions
Simplify \(\frac{6x}{9}\)	"\(\frac{2x}{3}\) (HCF = 3). <a href=""/simplifying-algebraic-fractions"">simplifying algebraic fractions</a>"	algebraic-fractions
Simplify \(\frac{4y^2 + 8y}{12y}\)	"\(\frac{y + 2}{3}\) (HCF = \(4y\)). <a href=""/simplifying-algebraic-fractions"">simplifying algebraic fractions</a>"	algebraic-fractions
Simplify \(\frac{3a^2 - 6a}{9a}\)	"\(\frac{a - 2}{3}\) (HCF = \(3a\)). <a href=""/simplifying-algebraic-fractions"">simplifying algebraic fractions</a>"	algebraic-fractions
Simplify \(\frac{5x^2 + 10x}{15x}\)	"\(\frac{x + 2}{3}\) (HCF = \(5x\)). <a href=""/simplifying-algebraic-fractions"">simplifying algebraic fractions</a>"	algebraic-fractions
What is an alloy?	A mix of two or more metals.	alloy-density
Analogue signal	An analogue signal is a wave that takes on <strong>continuous values</strong> (e.g., 0.7, 0.421) between 0 and 1.	analogue-signal
How do computers handle analogue signals?	Computers do not work with analogue signals; they must be converted into a <strong>digital signal</strong> for use.	analogue-signal
What is the output of an AND gate?	The output is <code>1</code> ONLY if <strong>both</strong> input signals are <code>1</code>.	and-gate
How many input signals does an AND gate take?	An AND gate takes two input signals.	and-gate
What is the output of an AND gate when Input A=0 and Input B=0?	Output is <strong>0</strong>.	and-gate
What is the output of an AND gate when Input A=0 and Input B=1?	Output is <strong>0</strong>.	and-gate
